N|Uuki,ngh,Tuu,Tuu,29d43S,19d05E,,,,,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Lezgian,lez,Lezgic,Nakh-Daghestanian,41d40N,47d50E,,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Rutul,rut,Lezgic,Nakh-Daghestanian,41d30N,47d25E,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Tsakhur,tkr,Lezgic,Nakh-Daghestanian,41d40N,47d10E,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Burushaski,bsk,Burushaski,Burushaski,36d30N,74d30E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Brahui,brh,Northern Dravidian,Dravidian,28d30N,67dE,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,
Kurukh,kru,Northern Dravidian,Dravidian,22d50N,85d30E,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Malto,mjt,Northern Dravidian,Dravidian,25dN,87d20E,,,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Kolami,kfb,Central Dravidian,Dravidian,20dN,78d30E,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Gondi,gno,South-Central Dravidian,Dravidian,19dN,81dE,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Kuvi,kxv,South-Central Dravidian,Dravidian,18d45N,82d40E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Kannada,kan,Southern Dravidian,Dravidian,14dN,76dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Tamil,tam,Southern Dravidian,Dravidian,11dN,78d30E,Dem-Num-A-N,,,,,,,,,
Malayalam,mal,Southern Dravidian,Dravidian,10dN,76d30E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Korku,kfq,Munda,Austro-Asiatic,22d30N,78d30E,,,,,,Adj is verb & AdjN,,,,Adj is verb & AdjN & NumN
Santali,sat,Munda,Austro-Asiatic,24d30N,87dE,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Mundari,unr,Munda,Austro-Asiatic,23dN,84d40E,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Kharia,khr,Munda,Austro-Asiatic,22d30N,84d20E,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,,,
Juang,jun,Munda,Austro-Asiatic,21d20N,86dE,,,,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Gorum,pcj,Munda,Austro-Asiatic,19dN,82d45E,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Remo,bfw,Munda,Austro-Asiatic,18dN,82dE,,Adj is not verb & Adj closer to noun than Num,,,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Khasi,kha,Khasian,Austro-Asiatic,25d30N,92dE,Dem-Num-N-A,,,Lg has numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Pnar,pbv,Khasian,Austro-Asiatic,24d50N,92d15E,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Palaung,pll,Palaungic,Austro-Asiatic,22d40N,96d40E,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Lawa (Eastern),lwl,Palaungic,Austro-Asiatic,18d57N,98d46E,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Parauk,prk,Palaungic,Austro-Asiatic,23d15N,99d30E,N-A-Dem-Num,,,Lg has numeral classifiers & Num further from noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Plang,blr,Palaungic,Austro-Asiatic,21d40N,100d20E,N-A-Num-Dem,,,,,,,,,
Mlabri (Minor),mra,Khmuic,Austro-Asiatic,18d30N,101dE,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Khmu',kjg,Khmuic,Austro-Asiatic,21dN,102dE,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Vietnamese,vie,Vietic,Austro-Asiatic,12dN,108dE,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Thavung,thm,Vietic,Austro-Asiatic,17d45N,104d15E,N-A-Num-Dem,,,,,,,,,
Pacoh,pac,Katuic,Austro-Asiatic,16d20N,107d15E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Katu,ktv,Katuic,Austro-Asiatic,15d50N,107d35E,Num-N-Dem-A,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Stieng,sti,Bahnaric,Austro-Asiatic,11d50N,106d45E,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Mnong (Central),cmo,Bahnaric,Austro-Asiatic,12d40N,107dE,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Chrau,crw,Bahnaric,Austro-Asiatic,10d45N,107d30E,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Sre,kpm,Bahnaric,Austro-Asiatic,11d30N,108dE,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Loven,lbo,Bahnaric,Austro-Asiatic,15dN,106d20E,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Brao,brb,Bahnaric,Austro-Asiatic,14d10N,107d30E,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Bahnar,bdq,Bahnaric,Austro-Asiatic,13d50N,108d20E,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Rengao,ren,Bahnaric,Austro-Asiatic,14d35N,107d50E,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Sedang,sed,Bahnaric,Austro-Asiatic,14d50N,108dE,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Khmer,khm,Khmer,Austro-Asiatic,12d30N,105dE,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Kasong,--,Pearic,Austro-Asiatic,12d45N,102d7E,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Chong,cog,Pearic,Austro-Asiatic,12d30N,102d30E,N-A-Num-Dem,,,,,,,,,
Mon,mnw,Monic,Austro-Asiatic,14d50N,100d30E,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Jahai,jhi,Aslian,Austro-Asiatic,5d40N,101d30E,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Temiar,tea,Aslian,Austro-Asiatic,5dN,101d30E,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Semelai,sza,Aslian,Austro-Asiatic,3dN,103dE,,,,,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Nicobarese (Car),caq,Nicobarese,Austro-Asiatic,9dN,93dE,,,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,,Adj is verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Mandarin,cmn,Chinese,Sino-Tibetan,34dN,110dE,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Wu,Wu,Chinese,Sino-Tibetan,31d12N,121d30E,,,,,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Cantonese,yue,Chinese,Sino-Tibetan,23dN,113dE,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Karen (Pwo),kjp,Karen,Sino-Tibetan,13dN,99d10E,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Kayah Li (Eastern),eky,Karen,Sino-Tibetan,19dN,97d30E,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Karen (Bwe),bwe,Karen,Sino-Tibetan,19d30N,97dE,,,,,,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Karen (Sgaw),ksw,Karen,Sino-Tibetan,18dN,97dE,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Tujia (Northern),tji,Tujia,Sino-Tibetan,29d20N,109d45E,Dem-N-A-Num,,,,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Dhimal,dhi,Dhimalish,Sino-Tibetan,26d40N,87d45E,,,,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Tamang (Eastern),taj,Bodic,Sino-Tibetan,27d30N,85d40E,Dem-A-N-Num,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Nar-Phu,npa,Bodic,Sino-Tibetan,28d40N,84d15E,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NNum
Gurung,gvr,Bodic,Sino-Tibetan,28d20N,84d20E,Dem-A-N-Num,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Thakali,ths,Bodic,Sino-Tibetan,29dN,83d45E,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Chantyal,chx,Bodic,Sino-Tibetan,28d35N,83d25E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Tshangla,tsj,Bodic,Sino-Tibetan,27d50N,92d10E,Dem-A-N-Num,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Tibetan (Modern Literary),bod,Bodic,Sino-Tibetan,29d50N,91d30E,N-A-Dem-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NNum
Tibetan (Standard Spoken),bod,Bodic,Sino-Tibetan,30dN,91dE,N-A-Dem-Num,,,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Tibetan (Drokpa),bod,Bodic,Sino-Tibetan,32d15N,81d15E,N-A-Num-Dem,,,,,,,,,
Kyirong,kgy,Bodic,Sino-Tibetan,28d25N,85d20E,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Lhomi,lhm,Bodic,Sino-Tibetan,27d40N,87d25E,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Kurtöp,xkz,Bodic,Sino-Tibetan,27d40N,91d10E,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Kham (Nangchen),khg,Bodic,Sino-Tibetan,32d30N,96d30E,N-A-Num-Dem,,,,,,,,,
Tibetan (Dongwang),khg,Bodic,Sino-Tibetan,28d30N,99d40E,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
